date_key,full_date,year,quarter,month_name,is_weekend
20260801,2026-08-01,2026,Q3,August,Y
20260802,2026-08-02,2026,Q3,August,Y
20260803,2026-08-03,2026,Q3,August,N
20260804,2026-08-04,2026,Q3,August,N
20260805,2026-08-05,2026,Q3,August,N
20260806,2026-08-06,2026,Q3,August,N
20260807,2026-08-07,2026,Q3,August,N
20260808,2026-08-08,2026,Q3,August,Y
20260809,2026-08-09,2026,Q3,August,Y
20260810,2026-08-10,2026,Q3,August,N
20260811,2026-08-11,2026,Q3,August,N
20260812,2026-08-12,2026,Q3,August,N
20260813,2026-08-13,2026,Q3,August,N
20260814,2026-08-14,2026,Q3,August,N
20260815,2026-08-15,2026,Q3,August,Y
20260816,2026-08-16,2026,Q3,August,Y
20260817,2026-08-17,2026,Q3,August,N
20260818,2026-08-18,2026,Q3,August,N
20260819,2026-08-19,2026,Q3,August,N
20260820,2026-08-20,2026,Q3,August,N
20260821,2026-08-21,2026,Q3,August,N
20260822,2026-08-22,2026,Q3,August,Y
20260823,2026-08-23,2026,Q3,August,Y
20260824,2026-08-24,2026,Q3,August,N
20260825,2026-08-25,2026,Q3,August,N
